,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5501490116119385,0.06673185347548936,0.014160537719726562,0.0041926935531481245,0.0001,l2,"{'model__alpha': 0.0001, 'model__penalty': 'l2'}",0.3538885960812067,0.35177356986989183,0.3398099519440244,0.37002547362801996,0.36074807552497556,0.35524913340962366,0.010008771380206657,2
1,0.5661511421203613,0.12166446922766534,0.012670660018920898,0.004715960955172382,0.0001,l1,"{'model__alpha': 0.0001, 'model__penalty': 'l1'}",0.3539010843491971,0.3517631872572812,0.3401501991809356,0.3700197662896837,0.3608012744591864,0.35532710230725684,0.009908726879426604,1
2,0.5330074787139892,0.05973381696596842,0.012370634078979491,0.002460684450822586,0.001,l2,"{'model__alpha': 0.001, 'model__penalty': 'l2'}",0.35389990226040413,0.3518466271630596,0.3396915870942069,0.36998519709276123,0.3607108810961376,0.3552268389413139,0.010024115883770598,3
3,0.5551601409912109,0.09499921244630125,0.010171937942504882,0.002959773432984443,0.001,l1,"{'model__alpha': 0.001, 'model__penalty': 'l1'}",0.34507042939179666,0.35177331833155556,0.34054208815475584,0.3689427035060756,0.3608384316136647,0.35343339419956965,0.010336866624598432,6
4,0.4548579216003418,0.08169263385340476,0.011176967620849609,0.002142306820362358,0.01,l2,"{'model__alpha': 0.01, 'model__penalty': 'l2'}",0.353505497639215,0.35172154128451627,0.3382864700676078,0.36827596984634914,0.3600465386766384,0.3543672035028654,0.00992008752580885,5
5,0.45031018257141114,0.04237330295504494,0.010934209823608399,0.0023878116197820253,0.01,l1,"{'model__alpha': 0.01, 'model__penalty': 'l1'}",0.3543538491818947,0.3447731996544421,0.34043610751763886,0.3693261878286316,0.3636028960645771,0.3544984480494369,0.010909662020695193,4
